,Año,Trimestre,Provincia,Banda ancha fija,Dial up,Total,Comparación
399,2018,3,Río Negro,112433,1,113492,112433.0
400,2018,3,Salta,132882,1,132883,132882.0
401,2018,3,San Juan,63823,658,64481,97.0
402,2018,3,San Luis,74121,300,74421,247.07
403,2018,3,Santa Cruz,33565,434,33999,77.34
404,2018,3,Santa Fe,694883,217,695100,3202.23
405,2018,3,Santiago Del Estero,86358,2,86360,43179.0
406,2018,3,Tierra Del Fuego,45056,508,45564,88.69
407,2018,3,Tucumán,171135,31,171166,5520.48
408,2018,2,Buenos Aires,3490134,10,3500699,349013.4
409,2018,2,Capital Federal,1362498,6,1369186,227083.0
410,2018,2,Catamarca,34078,11,34089,3098.0
411,2018,2,Chaco,98509,12,98521,8209.08
412,2018,2,Chubut,98137,2,100564,49068.5
413,2018,2,Córdoba,712979,94,713073,7584.88
414,2018,2,Corrientes,97946,11,97957,8904.18
415,2018,2,Entre Ríos,199937,48,199985,4165.35
416,2018,2,Formosa,44554,0,44554,inf
417,2018,2,Jujuy,45132,1,45133,45132.0
418,2018,2,La Pampa,82177,244,82421,336.79
419,2018,2,La Rioja,51931,17,51948,3054.76
420,2018,2,Mendoza,199468,1,200952,199468.0
421,2018,2,Misiones,106147,0,106147,inf
422,2018,2,Neuquén,113842,2,115848,56921.0
423,2018,2,Río Negro,111176,1,112235,111176.0
424,2018,2,Salta,134166,1,134167,134166.0
425,2018,2,San Juan,63443,658,64101,96.42
426,2018,2,San Luis,21168,300,21468,70.56
427,2018,2,Santa Cruz,33970,435,34405,78.09
428,2018,2,Santa Fe,684243,309,684552,2214.38
429,2018,2,Santiago Del Estero,83773,2,83775,41886.5
430,2018,2,Tierra Del Fuego,44199,508,44707,87.01
431,2018,2,Tucumán,169926,31,169957,5481.48
432,2018,1,Buenos Aires,3464882,10,3475446,346488.2
433,2018,1,Capital Federal,1359882,6,1366570,226647.0
434,2018,1,Catamarca,33934,11,33945,3084.91
435,2018,1,Chaco,96925,12,96937,8077.08
436,2018,1,Chubut,95532,2,97959,47766.0
437,2018,1,Córdoba,713825,101,713926,7067.57
438,2018,1,Corrientes,94406,11,94417,8582.36
439,2018,1,Entre Ríos,197346,48,197394,4111.38
440,2018,1,Formosa,32328,0,32328,inf
441,2018,1,Jujuy,44405,1,44406,44405.0
442,2018,1,La Pampa,82668,396,83064,208.76
443,2018,1,La Rioja,52228,17,52245,3072.24
444,2018,1,Mendoza,199463,1,200947,199463.0
445,2018,1,Misiones,103580,0,103580,inf
446,2018,1,Neuquén,115897,2,117903,57948.5
447,2018,1,Río Negro,110057,1,111119,110057.0
448,2018,1,Salta,133182,1,133183,133182.0
449,2018,1,San Juan,62610,658,63268,95.15
450,2018,1,San Luis,21096,300,21396,70.32
451,2018,1,Santa Cruz,33970,435,34405,78.09
452,2018,1,Santa Fe,679717,309,680026,2199.73
453,2018,1,Santiago Del Estero,82916,2,82918,41458.0
454,2018,1,Tierra Del Fuego,31106,508,31614,61.23
455,2018,1,Tucumán,168026,31,168057,5420.19
456,2017,4,Buenos Aires,3171206,10,3181896,317120.6
457,2017,4,Capital Federal,1575418,6,1582324,262569.67
458,2017,4,Catamarca,29548,10,29558,2954.8
459,2017,4,Chaco,96603,12,96615,8050.25
460,2017,4,Chubut,91012,2,93440,45506.0
461,2017,4,Córdoba,709874,105,709979,6760.7
462,2017,4,Corrientes,93760,11,93771,8523.64
463,2017,4,Entre Ríos,193654,49,193703,3952.12
464,2017,4,Formosa,32056,0,32056,inf
465,2017,4,Jujuy,43551,1,43552,43551.0
466,2017,4,La Pampa,81675,396,82071,206.25
467,2017,4,La Rioja,52177,17,52194,3069.24
468,2017,4,Mendoza,178661,1,180151,178661.0
469,2017,4,Misiones,103895,0,103895,inf
470,2017,4,Neuquén,114965,2,116971,57482.5
471,2017,4,Río Negro,108702,1,109764,108702.0
472,2017,4,Salta,132811,1,132812,132811.0
473,2017,4,San Juan,57965,659,58624,87.96
474,2017,4,San Luis,14604,300,14904,48.68
475,2017,4,Santa Cruz,29018,434,29452,66.86
476,2017,4,Santa Fe,672137,323,672460,2080.92
477,2017,4,Santiago Del Estero,68842,2,68844,34421.0
478,2017,4,Tierra Del Fuego,28346,508,28854,55.8
479,2017,4,Tucumán,162298,34,162332,4773.47
480,2017,3,Buenos Aires,3046758,11,3057960,276978.0
481,2017,3,Capital Federal,1563289,7,1570359,223327.0
482,2017,3,Catamarca,33467,11,33478,3042.45
483,2017,3,Chaco,93747,12,93759,7812.25
484,2017,3,Chubut,81067,2,83544,40533.5
485,2017,3,Córdoba,696536,108,696644,6449.41
486,2017,3,Corrientes,92536,12,92548,7711.33
487,2017,3,Entre Ríos,185414,50,185464,3708.28
488,2017,3,Formosa,32105,0,32105,inf
489,2017,3,Jujuy,43241,1,43242,43241.0
490,2017,3,La Pampa,79280,410,79690,193.37
491,2017,3,La Rioja,51896,17,51913,3052.71
492,2017,3,Mendoza,190958,1,192491,190958.0
493,2017,3,Misiones,100476,0,100476,inf
494,2017,3,Neuquén,113755,2,115784,56877.5
495,2017,3,Río Negro,106393,1,107496,106393.0
496,2017,3,Salta,132517,1,132518,132517.0
497,2017,3,San Juan,61789,660,62449,93.62
498,2017,3,San Luis,21408,311,21719,68.84
499,2017,3,Santa Cruz,33222,468,33690,70.99
500,2017,3,Santa Fe,662086,256,662342,2586.27
501,2017,3,Santiago Del Estero,82792,2,82794,41396.0
