,Año,Trimestre,Provincia,HASTA 512 kbps,+ 512 Kbps - 1 Mbps,+ 1 Mbps - 6 Mbps,+ 6 Mbps - 10 Mbps,+ 10 Mbps - 20 Mbps,+ 20 Mbps - 30 Mbps,+ 30 Mbps,OtrasMediciones,TotalMediciones
145,2021,1,capital federal,135,244,159662,76753,56457,83255,1003041,126.0,1379673
146,2021,1,catamarca,71,0,7423,8455,10115,712,22996,2196.0,51968
147,2021,1,chaco,301,112,24357,22102,27556,14496,42462,8384.0,139770
148,2021,1,chubut,106,109,86986,21401,15392,2844,1112,4390.0,132340
149,2021,1,córdoba,93,2386,211799,135092,74659,71984,402191,12677.0,910881
150,2021,1,corrientes,67,527,31544,26223,26169,9001,27641,5453.0,126625
151,2021,1,entre ríos,105,2911,67255,56060,42432,15774,54600,12826.0,251963
152,2021,1,formosa,56,0,22409,7569,7916,1215,9579,1942.0,50686
153,2021,1,jujuy,49,175,23735,17293,40649,568,25609,2378.0,110456
154,2021,1,la pampa,298,554,68200,7864,7611,2786,7368,2424.0,97105
155,2021,1,la rioja,18,1,36749,5968,4604,215,5074,-1.0,52628
156,2021,1,mendoza,28,40,134386,11216,52533,4061,16615,44.0,218923
157,2021,1,misiones,51,524,40949,25503,27101,14050,32953,8256.0,149387
158,2021,1,neuquén,116,327,56171,8443,5903,5677,50840,5758.0,133235
159,2021,1,río negro,125,466,70011,4187,13045,3642,29589,20103.0,141168
160,2021,1,salta,109,20,40785,68149,9164,8139,54889,6319.0,187574
161,2021,1,san juan,25,194,60439,858,11494,340,276,4641.0,78267
162,2021,1,san luis,58,0,11889,2926,4429,62913,22,36917.0,119154
163,2021,1,santa cruz,50,0,30655,8334,6987,1337,647,-1945.0,46065
164,2021,1,santa fe,518,891,201632,204458,91846,65476,236924,24382.0,826127
165,2021,1,santiago del estero,123,909,33884,58464,8549,700,4868,4144.0,111641
166,2021,1,tierra del fuego,17,0,21379,1468,4317,486,919,11836.0,40422
167,2021,1,tucumán,29,97,42810,53416,25255,4188,103437,2680.0,231912
168,2020,4,buenos aires,36939,31197,1109865,242243,214171,213588,2176242,9016.0,4033261
169,2020,4,capital federal,135,244,160210,78123,60208,80269,1000073,268.0,1379530
170,2020,4,catamarca,71,0,8843,8740,11436,591,20406,2309.0,52396
171,2020,4,chaco,301,112,24782,22479,26802,15701,40949,7965.0,139091
172,2020,4,chubut,106,109,88157,21824,12046,2818,1112,4402.0,130574
173,2020,4,córdoba,119,2386,214963,135262,82221,70013,384169,13568.0,902701
174,2020,4,corrientes,67,527,31900,26321,25687,9383,26789,4985.0,125659
175,2020,4,entre ríos,105,2911,65659,53556,40755,16600,53141,14654.0,247381
176,2020,4,formosa,56,0,23540,7606,7181,1197,8946,1680.0,50206
177,2020,4,jujuy,49,182,23772,14379,44930,446,19282,2811.0,105851
178,2020,4,la pampa,298,554,70184,8124,6562,2396,6257,2520.0,96895
179,2020,4,la rioja,18,1,36906,6060,4633,181,4979,0.0,52778
180,2020,4,mendoza,28,40,146312,11172,40396,3378,11557,2570.0,215453
181,2020,4,misiones,51,524,39988,26078,26445,14810,32264,7001.0,147161
182,2020,4,neuquén,116,327,56434,8478,5791,5493,50776,5720.0,133135
183,2020,4,río negro,125,466,70305,4153,13131,3512,29372,20146.0,141210
184,2020,4,salta,109,514,41443,68829,15188,8291,46697,6319.0,187390
185,2020,4,san juan,25,194,61316,740,5126,332,275,4588.0,72596
186,2020,4,san luis,58,0,14020,3490,2688,62239,22,36918.0,119435
187,2020,4,santa cruz,47,0,27173,4382,6634,1033,647,758.0,40674
188,2020,4,santa fe,518,891,206372,203793,94246,65145,226246,23602.0,820813
189,2020,4,santiago del estero,123,909,34518,57590,4666,411,4520,3932.0,106669
190,2020,4,tierra del fuego,17,0,21881,6119,3497,488,922,6690.0,39614
191,2020,4,tucumán,29,97,44095,54334,32155,4105,93594,2680.0,231089
192,2020,3,buenos aires,37542,31514,1113823,234710,219772,194248,2085815,19853.0,3937277
193,2020,3,capital federal,264,312,162222,85083,68753,78028,977766,247.0,1372675
194,2020,3,catamarca,63,0,8276,8768,11195,562,18886,2154.0,49904
195,2020,3,chaco,308,112,24675,21639,27546,13751,38729,7194.0,133954
196,2020,3,chubut,158,109,87559,22114,12217,2818,1110,3942.0,130027
197,2020,3,córdoba,168,3064,218599,124833,84236,63823,361021,11728.0,867472
198,2020,3,corrientes,72,527,35190,23315,25308,8615,25344,5020.0,123391
199,2020,3,entre ríos,130,2911,66648,51478,40797,14377,49395,15759.0,241495
200,2020,3,formosa,391,151,23163,7432,7125,991,8219,1737.0,49209
201,2020,3,jujuy,55,182,32131,10566,45198,293,15238,3065.0,106728
202,2020,3,la pampa,293,810,66695,7820,5577,2189,6322,4029.0,93735
203,2020,3,la rioja,21,1,37105,5955,4660,124,4748,2.0,52616
204,2020,3,mendoza,58,40,141404,12123,42433,3448,8237,45.0,207788
205,2020,3,misiones,71,524,39005,24215,25942,13663,30987,8779.0,143186
206,2020,3,neuquén,218,327,60463,6561,5975,5449,49439,803.0,129235
207,2020,3,río negro,114,466,68986,3769,7096,3455,28488,19093.0,131467
208,2020,3,salta,129,514,32780,64736,15990,7928,43773,14996.0,180846
209,2020,3,san juan,48,194,65526,711,6529,41,128,4150.0,77327
210,2020,3,san luis,105,0,12199,3351,2666,61319,8,36917.0,116565
211,2020,3,santa cruz,66,0,26888,4015,6730,629,120,833.0,39281
212,2020,3,santa fe,568,1241,213353,199381,92095,58797,210562,27001.0,802998
213,2020,3,santiago del estero,133,909,33287,57418,4658,292,3994,4801.0,105492
214,2020,3,tierra del fuego,11,0,22094,5414,3726,481,937,6992.0,39655
215,2020,3,tucumán,52,97,45913,54610,33126,3246,84195,2637.0,223876
216,2020,2,buenos aires,37542,31606,1129236,241336,233132,188995,1894466,21233.0,3777546
217,2020,2,capital federal,264,312,166474,94585,79858,80160,935481,687.0,1357821
218,2020,2,catamarca,63,0,8801,8690,10242,426,16578,3176.0,47976
219,2020,2,chaco,308,928,24350,21140,29044,12082,33311,6969.0,128132
220,2020,2,chubut,158,109,69578,22188,10537,1473,614,3999.0,108656
221,2020,2,córdoba,168,4383,219025,125932,89530,63216,325243,8971.0,836468
222,2020,2,corrientes,72,527,34242,22845,25844,7898,22418,5020.0,118866
223,2020,2,entre ríos,130,3679,66758,50640,42090,12856,43391,14569.0,234113
224,2020,2,formosa,391,151,23534,7109,6998,961,7475,1313.0,47932
225,2020,2,jujuy,55,182,30548,10519,26829,209,9417,16557.0,94316
226,2020,2,la pampa,293,810,71218,7531,3800,1657,3377,1123.0,89809
227,2020,2,la rioja,21,1,37375,5661,4686,73,4336,2.0,52155
228,2020,2,mendoza,58,40,142253,12439,35274,3248,5422,2450.0,201184
229,2020,2,misiones,71,524,39867,23719,26445,12305,28763,8646.0,140340
230,2020,2,neuquén,218,327,61171,6103,6625,5296,46432,0.0,126172
231,2020,2,río negro,114,466,70817,3335,7498,3246,26953,17057.0,129486
232,2020,2,salta,129,514,41801,64463,16989,7741,39594,6531.0,177762
233,2020,2,san juan,48,194,59113,917,4908,40,127,4430.0,69777
234,2020,2,san luis,105,0,11439,3585,1934,60889,8,35992.0,113952
235,2020,2,santa cruz,66,0,26938,4166,6541,546,119,493.0,38869
236,2020,2,santa fe,568,2061,213054,198772,96575,57236,189473,20193.0,777932
237,2020,2,santiago del estero,133,1779,32557,57709,5178,247,3328,4516.0,105447
238,2020,2,tierra del fuego,11,0,22325,5186,3034,391,796,7446.0,39189
239,2020,2,tucumán,52,97,49028,54537,34184,2246,74377,2635.0,217156
240,2020,1,buenos aires,38215,36802,1122034,236421,247977,205780,1802583,28935.0,3718747
241,2020,1,capital federal,264,312,169651,102254,89665,85899,906009,0.0,1354054
242,2020,1,catamarca,63,0,8838,7543,9558,408,10299,2151.0,38860
243,2020,1,chaco,308,928,23291,19976,29851,10416,28539,6917.0,120226
244,2020,1,chubut,158,109,69586,12957,7756,1240,614,4500.0,96920
245,2020,1,córdoba,142,5128,217229,120188,95827,65733,296875,9802.0,810924
246,2020,1,corrientes,72,527,33479,21382,26679,7351,19467,4780.0,113737
247,2020,1,entre ríos,130,4081,72280,47132,41125,11988,39794,13762.0,230292
248,2020,1,formosa,1127,342,23761,6500,6564,964,6918,100.0,46276
249,2020,1,jujuy,55,182,33120,9979,26693,166,7349,16545.0,94089
250,2020,1,la pampa,293,811,72740,7199,3029,1342,2113,1618.0,89145
251,2020,1,la rioja,21,1,37209,5158,4640,22,1294,0.0,48345
252,2020,1,mendoza,58,40,140410,12285,17489,2860,3818,0.0,176960
253,2020,1,misiones,71,524,36622,21271,26433,11581,26313,10885.0,133700
254,2020,1,neuquén,218,327,60152,5257,7123,5399,43738,0.0,122214
255,2020,1,río negro,114,466,69154,2930,7857,3199,25488,17719.0,126927
256,2020,1,salta,129,514,38537,63714,17991,8625,34744,6441.0,170695
257,2020,1,san juan,48,194,59787,1594,1292,40,127,4779.0,67861
258,2020,1,san luis,105,0,11322,4164,525,58258,5,36075.0,110454
259,2020,1,santa cruz,67,11,27447,4993,5169,529,119,0.0,38335
260,2020,1,santa fe,696,2994,217553,196826,104560,48448,173823,17656.0,762556
261,2020,1,santiago del estero,133,1779,33086,56884,3737,135,2799,4501.0,103054
262,2020,1,tierra del fuego,11,1,22976,5024,1834,196,518,7046.0,37606
263,2020,1,tucumán,52,97,49555,50383,31096,1730,67536,0.0,200449
264,2019,4,buenos aires,33489,27537,1177446,262297,247106,452570,1465133,20676.0,3686254
265,2019,4,capital federal,307,15,177098,110218,110852,205810,753805,0.0,1358105
266,2019,4,catamarca,63,0,9945,7619,9305,804,7477,3098.0,38311
267,2019,4,chaco,83,0,25899,18959,30902,13516,21556,6988.0,117903
268,2019,4,chubut,158,4,69405,12945,7615,1240,614,4121.0,96102
269,2019,4,córdoba,142,0,232781,118232,109330,114111,221742,10350.0,806688
270,2019,4,corrientes,72,0,35055,20620,27367,9981,15744,4995.0,113834
271,2019,4,entre ríos,47,0,88203,44511,42962,18976,30153,14178.0,239030
272,2019,4,formosa,1127,191,24606,6319,6788,1766,5671,243.0,46711
