,Año,Trimestre,Provincia,Accesos telefonía fija por cada 100 hab,Accesos telefonía fija por cada 100 hogares,Accesos telefonía fija por cada 100 hab trimestre anterior + 2%,Diferencia habitantes,Porcentaje de diferencia habitantes,Accesos telefonía fija por cada 100 hogares trimestre anterior + 2%,Diferencia hogares,Porcentaje de diferencia hogares
32,2014,2,Formosa,"7,37","28,95","7,51","0,14","1,9","29,5","0,55","7,46"
33,2014,2,Jujuy,"7,82","30,59","7,98","0,16","2,05","31,2","0,61","7,8"
34,2014,2,La Pampa,"21,45","65,09","21,62","0,17","0,79","65,62","0,53","2,47"
35,2014,2,La Rioja,"10,9","40,94","11,05","0,15","1,38","41,5","0,56","5,14"
36,2014,2,Mendoza,"17,2","61,64","17,49","0,29","1,69","62,67","1,03","5,99"
37,2014,2,Misiones,"9,45","34,7","9,71","0,26","2,75","35,63","0,93","9,84"
38,2014,2,Neuquén,"15,22","51,12","15,46","0,24","1,58","51,94","0,82","5,39"
39,2014,2,Río Negro,"17,62","57,28","17,92","0,3","1,7","58,27","0,99","5,62"
40,2014,2,Salta,"10,75","44,37","10,93","0,18","1,67","45,16","0,79","7,35"
41,2014,2,San Juan,"12,67","49,73","12,97","0,3","2,37","50,91","1,18","9,31"
42,2014,2,San Luis,"10,89","38,03","11,0","0,11","1,01","38,42","0,39","3,58"
43,2014,2,Santa Cruz,"13,11","44,04","13,37","0,26","1,98","44,91","0,87","6,64"
44,2014,2,Santa Fe,"22,8","72,51","23,36","0,56","2,46","74,29","1,78","7,81"
45,2014,2,Santiago del Estero,"7,7","31,02","7,84","0,14","1,82","31,6","0,58","7,53"
46,2014,2,Tierra del Fuego,"22,08","74,44","22,41","0,33","1,49","75,56","1,12","5,07"
47,2014,2,Tucumán,"13,49","54,47","13,79","0,3","2,22","55,65","1,18","8,75"
48,2014,3,Buenos Aires,"26,69","84,85","27,5","0,81","3,03","87,26","2,41","9,03"
49,2014,3,Capital Federal,"52,69","127,35","53,99","1,3","2,47","129,84","2,49","4,73"
50,2014,3,Catamarca,"10,02","39,39","10,19","0,17","1,7","40,06","0,67","6,69"
51,2014,3,Chaco,"9,35","34,97","9,47","0,12","1,28","35,4","0,43","4,6"
52,2014,3,Chubut,"17,57","57,32","18,12","0,55","3,13","59,08","1,76","10,02"
53,2014,3,Córdoba,"20,74","67,73","21,06","0,32","1,54","68,78","1,05","5,06"
54,2014,3,Corrientes,"9,94","37,74","10,09","0,15","1,51","38,3","0,56","5,63"
55,2014,3,Entre Ríos,"17,59","58,84","17,86","0,27","1,53","59,73","0,89","5,06"
56,2014,3,Formosa,"7,36","28,92","7,46","0,1","1,36","29,3","0,38","5,16"
57,2014,3,Jujuy,"7,82","30,59","7,97","0,15","1,92","31,16","0,57","7,29"
58,2014,3,La Pampa,"21,2","64,33","21,84","0,64","3,02","66,29","1,96","9,25"
59,2014,3,La Rioja,"10,83","40,69","10,95","0,12","1,11","41,14","0,45","4,16"
