Año,Trimestre,Provincia,Accesos por cada 100 hogares,Accesos por cada 100 hogares trimestre anterior + 2%,Diferencia,Porcentaje de diferencia
2017,2,Chubut,"35,55","36,37","0,82","2,31"
2017,2,Córdoba,"58,97","58,8","-0,17","-0,29"
2017,2,Corrientes,"31,39","31,56","0,17","0,54"
2017,2,Entre Ríos,"45,39","45,81","0,42","0,93"
2017,2,Formosa,"19,97","20,24","0,27","1,35"
2017,2,Jujuy,"22,4","23,22","0,82","3,66"
2017,2,La Pampa,"63,49","63,92","0,43","0,68"
2017,2,La Rioja,"16,2","16,52","0,32","1,98"
2017,2,Mendoza,"31,76","32,48","0,72","2,27"
2017,2,Misiones,"30,09","30,11","0,02","0,07"
2017,2,Neuquén,"61,91","62,24","0,33","0,53"
2017,2,Río Negro,"46,02","46,95","0,93","2,02"
2017,2,Salta,"32,74","33,23","0,49","1,5"
2017,2,San Juan,"26,96","27,58","0,62","2,3"
2017,2,San Luis,"9,51","9,74","0,23","2,42"
2017,2,Santa Cruz,"26,25","27,05","0,8","3,05"
2017,2,Santa Fe,"52,27","53,01","0,74","1,42"
2017,2,Santiago Del Estero,"14,12","14,99","0,87","6,16"
2017,2,Tierra Del Fuego,"68,46","70,3","1,84","2,69"
2017,2,Tucumán,"38,19","38,66","0,47","1,23"
2017,1,Buenos Aires,"58,57","62,46","3,89","6,64"
2017,1,Capital Federal,"108,37","123,04","14,67","13,54"
2017,1,Catamarca,"25,66","27,07","1,41","5,49"
2017,1,Chaco,"28,62","29,37","0,75","2,62"
2017,1,Chubut,"35,66","36,79","1,13","3,17"
2017,1,Córdoba,"57,65","58,85","1,2","2,08"
2017,1,Corrientes,"30,94","31,6","0,66","2,13"
2017,1,Entre Ríos,"44,91","46,11","1,2","2,67"
2017,1,Formosa,"19,84","20,25","0,41","2,07"
2017,1,Jujuy,"22,76","23,1","0,34","1,49"
2017,1,La Pampa,"62,67","64,28","1,61","2,57"
2017,1,La Rioja,"16,2","16,79","0,59","3,64"
2017,1,Mendoza,"31,84","32,75","0,91","2,86"
2017,1,Misiones,"29,52","30,31","0,79","2,68"
2017,1,Neuquén,"61,02","62,09","1,07","1,75"
2017,1,Río Negro,"46,03","47,32","1,29","2,8"
2017,1,Salta,"32,58","33,34","0,76","2,33"
2017,1,San Juan,"27,04","27,84","0,8","2,96"
2017,1,San Luis,"9,55","9,83","0,28","2,93"
2017,1,Santa Cruz,"26,52","27,59","1,07","4,03"
2017,1,Santa Fe,"51,97","53,23","1,26","2,42"
2017,1,Santiago Del Estero,"14,7","15,37","0,67","4,56"
2017,1,Tierra Del Fuego,"68,92","71,72","2,8","4,06"
2017,1,Tucumán,"37,9","38,74","0,84","2,22"
2016,4,Buenos Aires,"61,24","61,34","0,1","0,16"
2016,4,Capital Federal,"120,63","123,19","2,56","2,12"
2016,4,Catamarca,"26,54","27,01","0,47","1,77"
2016,4,Chaco,"28,79","29,49","0,7","2,43"
2016,4,Chubut,"36,07","36,9","0,83","2,3"
2016,4,Córdoba,"57,7","59,4","1,7","2,95"
2016,4,Corrientes,"30,98","31,69","0,71","2,29"
2016,4,Entre Ríos,"45,21","46,35","1,14","2,52"
2016,4,Formosa,"19,85","19,01","-0,84","-4,23"
2016,4,Jujuy,"22,65","23,06","0,41","1,81"
2016,4,La Pampa,"63,02","62,96","-0,06","-0,1"
